AÑO;MARCA;MODELO;CAMIONES/ TRACTO;CARROCERIA;AÑO FAB;P.BRUTO;ORIGEN;FORMULA RODANTE;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE;TTL;PER - Origen  de Marca;TYPE;"VOLVO / MACK 
SEGMENTATION";PER - CLAS. FINAL;"CODIGO 
VINCULADOR
(APLICATION SEGMENT)";"APLICATION
SEGMENTS"
2013;YUEJIN;NJ1062DA3;CAMIONES;BARANDA;2012;6100;CHINA;4X2;0;0;0;0;0;0;0;0;0;0;1;0;1;Chino;RIGID;NO APLICA;LDV;YUEJIN NJ1062DA3BARANDA4X2LDV;No aplica
2013;YUEJIN;NJ1062DA3;CAMIONES;BARANDA;2012;6100;CHINA;4X2;0;0;0;0;0;1;0;0;0;0;0;0;1;Chino;RIGID;NO APLICA;LDV;YUEJIN NJ1062DA3BARANDA4X2LDV;No aplica
2013;YUEJIN;NJ1062DAC;CAMIONES;FURGON;2012;7600;CHINA;4X2;0;1;0;1;3;0;1;0;1;1;0;0;8;Chino;RIGID;NO APLICA;LDV;YUEJIN NJ1062DACFURGON4X2LDV;No aplica
2013;YUEJIN;NJ1062DAL;CAMIONES;BARANDA;2012;8940;CHINA;4X2;0;0;0;0;1;0;0;0;0;0;0;0;1;Chino;RIGID;NO APLICA;LDV;YUEJIN NJ1062DALBARANDA4X2LDV;No aplica
2013;YUEJIN;NJ1062DAL;CAMIONES;BARANDA;2012;8940;CHINA;4X2;8;5;8;5;4;1;1;1;2;1;0;0;36;Chino;RIGID;NO APLICA;LDV;YUEJIN NJ1062DALBARANDA4X2LDV;No aplica
2013;YUEJIN;NJ1062DAL;CAMIONES;BARANDA;2013;8940;CHINA;4X2;0;0;0;0;0;0;0;0;0;0;2;0;2;Chino;RIGID;NO APLICA;LDV;YUEJIN NJ1062DALBARANDA4X2LDV;No aplica
2013;YUEJIN;NJ1062DAL;CAMIONES;BARANDA;2013;8940;CHINA;4X2;0;0;0;0;0;0;0;0;4;0;0;0;4;Chino;RIGID;NO APLICA;LDV;YUEJIN NJ1062DALBARANDA4X2LDV;No aplica
2013;YUEJIN;NJ1063DAW;CAMIONES;BARANDA;2011;10290;CHINA;4X2;0;0;1;0;0;0;0;0;0;0;0;0;1;Chino;RIGID;NO APLICA;MDV;YUEJIN NJ1063DAWBARANDA4X2MDV;No aplica
2013;YUEJIN;NJ1063DAW;CAMIONES;BARANDA;2012;10290;CHINA;4X2;0;0;0;0;0;0;0;0;0;0;0;1;1;Chino;RIGID;NO APLICA;MDV;YUEJIN NJ1063DAWBARANDA4X2MDV;No aplica
2013;YUEJIN;NJ1063DAW;CAMIONES;BARANDA;2012;10290;CHINA;4X2;8;3;3;5;7;9;1;2;1;0;0;0;39;Chino;RIGID;NO APLICA;MDV;YUEJIN NJ1063DAWBARANDA4X2MDV;No aplica
2013;YUEJIN;NJ1063DAW;CAMIONES;BARANDA;2013;10290;CHINA;4X2;0;0;0;0;0;0;0;0;0;0;2;2;4;Chino;RIGID;NO APLICA;MDV;YUEJIN NJ1063DAWBARANDA4X2MDV;No aplica
2013;YUEJIN;NJ1063DAW;CAMIONES;BARANDA;2013;10290;CHINA;4X2;0;0;0;0;0;1;0;1;0;1;0;0;3;Chino;RIGID;NO APLICA;MDV;YUEJIN NJ1063DAWBARANDA4X2MDV;No aplica
2013;YUEJIN;NJ1063DAWC;CAMIONES;FURGËN;2012;10000;CHINA;4X2;0;0;0;0;0;0;1;1;0;0;0;0;2;Chino;RIGID;NO APLICA;MDV;YUEJIN NJ1063DAWCFURGËN4X2MDV;No aplica
2013;YUEJIN;NJ1063DAWC;CAMIONES;FURGON;2012;10000;CHINA;4X2;0;0;0;0;0;0;0;0;0;0;1;0;1;Chino;RIGID;NO APLICA;MDV;YUEJIN NJ1063DAWCFURGON4X2MDV;No aplica
2013;YUEJIN;NJ1063DAWC;CAMIONES;FURGON;2012;10000;CHINA;4X2;1;0;0;1;1;0;0;0;1;1;0;0;5;Chino;RIGID;NO APLICA;MDV;YUEJIN NJ1063DAWCFURGON4X2MDV;No aplica
2013;YUEJIN;NJ1120DYW;CAMIONES;BARANDA;2012;13750;CHINA;4X2;6;2;5;4;2;4;1;3;2;2;0;0;31;Chino;RIGID;NO APLICA;MDV;YUEJIN NJ1120DYWBARANDA4X2MDV;No aplica
2013;YUEJIN;NJ1120DYW;CAMIONES;BARANDA;2013;13750;CHINA;4X2;0;0;0;0;0;0;0;0;0;0;1;1;2;Chino;RIGID;NO APLICA;MDV;YUEJIN NJ1120DYWBARANDA4X2MDV;No aplica
2013;YUEJIN;NJ1120DYW;CAMIONES;BARANDA;2013;13750;CHINA;4X2;0;0;0;0;0;0;0;0;1;1;0;0;2;Chino;RIGID;NO APLICA;MDV;YUEJIN NJ1120DYWBARANDA4X2MDV;No aplica
2013;YUEJIN;NJ1120DYW3;CAMIONES;BARANDA;2012;13850;CHINA;4X2;0;0;0;0;0;0;0;0;0;1;0;0;1;Chino;RIGID;NO APLICA;MDV;YUEJIN NJ1120DYW3BARANDA4X2MDV;No aplica
2013;XCMG;NXG3251D3KC;CAMIONES;VOLQUETE;2011;41000;CHINA;6X4;0;0;0;0;0;0;0;0;0;0;2;1;3;Chino;RIGID;APLICA;HDV;XCMG NXG3251D3KCVOLQUETE6X4HDV;Heavy Construction and Mining
2013;XCMG;NXG3251D3KC;CAMIONES;VOLQUETE;2011;41000;CHINA;6X4;3;1;1;3;0;0;2;3;0;1;0;0;14;Chino;RIGID;APLICA;HDV;XCMG NXG3251D3KCVOLQUETE6X4HDV;Heavy Construction and Mining
2013;XCMG;NXG3251D3KC;CAMIONES;VOLQUETE;2013;41000;CHINA;6X4;0;0;0;0;0;0;0;0;0;0;1;0;1;Chino;RIGID;APLICA;HDV;XCMG NXG3251D3KCVOLQUETE6X4HDV;Heavy Construction and Mining
2013;XCMG;NXG5160CSY3;CAMIONES;BARANDA;2012;17500;CHINA;4X2;0;0;0;0;0;0;0;0;0;0;0;5;5;Chino;RIGID;APLICA;MHDV;XCMG NXG5160CSY3BARANDA4X2MHDV;Distribution
2013;XCMG;NXG5160CSY3;CAMIONES;BARANDA;2012;17500;CHINA;4X2;0;1;0;0;0;2;0;0;0;0;0;0;3;Chino;RIGID;APLICA;MHDV;XCMG NXG5160CSY3BARANDA4X2MHDV;Distribution
2013;VOLVO;FH 4X2T;TRACTOCAMIONES;REMOLCADOR;2013;20100;BRASIL;4X2;0;0;2;3;0;0;0;1;1;0;0;0;7;Europea;TRACTO;APLICA;MHDV;VOLVO FH 4X2TMHDV4X2;Regional Long Haul
2013;VOLVO;FH 6X4R;CAMIONES;CABINADO;2012;28100;BRASIL;6X4;1;4;1;1;0;0;0;0;0;0;0;0;7;Europea;RIGID;APLICA;HDV;VOLVO FH 6X4RCABINADO6X4HDV;Demanding Long Haul
2013;VOLVO;FH 6X4R;CAMIONES;CABINADO;2013;28100;BRASIL;6X4;0;0;0;0;0;0;0;0;0;0;5;2;7;Europea;RIGID;APLICA;HDV;VOLVO FH 6X4RCABINADO6X4HDV;Demanding Long Haul
2013;VOLVO;FH 6X4R;CAMIONES;CABINADO;2013;28100;BRASIL;6X4;0;0;0;2;2;3;2;0;4;7;0;0;20;Europea;RIGID;APLICA;HDV;VOLVO FH 6X4RCABINADO6X4HDV;Demanding Long Haul
2013;VOLVO;FH 6X4R;CAMIONES;CABINADO;2013;28100;SUECIA;6X4;0;0;0;0;0;1;0;0;0;0;0;0;1;Europea;RIGID;APLICA;HDV;VOLVO FH 6X4RCABINADO6X4HDV;Demanding Long Haul
2013;VOLVO;FH 6X4T;TRACTOCAMIONES;REMOLCADOR;2013;28100;SUECIA;6X4;0;0;0;0;2;0;0;0;0;0;0;0;2;Europea;TRACTO;APLICA;HDV;VOLVO FH 6X4THDV6X4;Demanding Long Haul
2013;VOLVO;FH 6X4T;TRACTOCAMIONES;REMOLCADOR;2012;28100;BRASIL;6X4;0;0;0;0;0;0;0;0;0;0;0;22;22;Europea;TRACTO;APLICA;HDV;VOLVO FH 6X4THDV6X4;Demanding Long Haul
2013;VOLVO;FH 6X4T;TRACTOCAMIONES;REMOLCADOR;2012;28100;SUECIA;6X4;0;0;0;0;0;0;0;0;0;0;0;11;11;Europea;TRACTO;APLICA;HDV;VOLVO FH 6X4THDV6X4;Demanding Long Haul
2013;VOLVO;FH 6X4T;TRACTOCAMIONES;REMOLCADOR;2012;28100;BRASIL;6X4;22;12;6;2;3;0;0;0;0;0;0;0;45;Europea;TRACTO;APLICA;HDV;VOLVO FH 6X4THDV6X4;Demanding Long Haul
2013;VOLVO;FH 6X4T;TRACTOCAMIONES;REMOLCADOR;2012;28100;SUECIA;6X4;6;2;0;2;1;1;0;1;1;0;0;0;14;Europea;TRACTO;APLICA;HDV;VOLVO FH 6X4THDV6X4;Demanding Long Haul
2013;VOLVO;FH 6X4T;TRACTOCAMIONES;REMOLCADOR;2013;28100;BELGICA;6X4;0;0;0;0;0;0;0;0;0;0;14;4;18;Europea;TRACTO;APLICA;HDV;VOLVO FH 6X4THDV6X4;Demanding Long Haul
2013;VOLVO;FH 6X4T;TRACTOCAMIONES;REMOLCADOR;2013;28100;BRASIL;6X4;0;0;0;0;0;0;0;0;0;0;24;5;29;Europea;TRACTO;APLICA;HDV;VOLVO FH 6X4THDV6X4;Demanding Long Haul
2013;VOLVO;FH 6X4T;TRACTOCAMIONES;REMOLCADOR;2013;28100;SUECIA;6X4;0;0;0;0;0;0;0;0;0;0;14;7;21;Europea;TRACTO;APLICA;HDV;VOLVO FH 6X4THDV6X4;Demanding Long Haul
2013;VOLVO;FH 6X4T;TRACTOCAMIONES;REMOLCADOR;2013;28100;BELGICA;6X4;0;0;0;0;0;0;0;0;1;0;0;0;1;Europea;TRACTO;APLICA;HDV;VOLVO FH 6X4THDV6X4;Demanding Long Haul
2013;VOLVO;FH 6X4T;TRACTOCAMIONES;REMOLCADOR;2013;28100;BELGICA;6X4;0;0;0;0;0;0;0;1;19;19;0;0;39;Europea;TRACTO;APLICA;HDV;VOLVO FH 6X4THDV6X4;Demanding Long Haul
