ANIO;MES;OFICINA;CHASIS;CLASE;SUBCLASE;CARROCERIA;MARCA;MODELO;ORIGEN;FORMULARODANTE; PBV ;FABRICACION
2019;ABRIL;LIMA;1648;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;MACK;AN64TX;UNITED STATES                                               ;6X4;27,600;2018
2019;ABRIL;LIMA;22237;CAMIONES Y TRACTO;CAMIONES;CABINADO;UD;CRONER MKE;THAILAND                                                    ;4X2;11,500;2018
2019;ABRIL;LIMA;22234;CAMIONES Y TRACTO;CAMIONES;CABINADO;UD;CRONER MKE;THAILAND                                                    ;4X2;11,500;2018
2019;ABRIL;LIMA;23234;CAMIONES Y TRACTO;CAMIONES;CABINADO;UD;CRONER PKE;THAILAND                                                    ;4X2;17,000;2018
2019;ABRIL;LIMA;22440;CAMIONES Y TRACTO;CAMIONES;CABINADO;UD;CRONER PKE;THAILAND                                                    ;4X2;17,000;2018
2019;ABRIL;LIMA;22432;CAMIONES Y TRACTO;CAMIONES;CABINADO;UD;CRONER MKE;THAILAND                                                    ;4X2;11,500;2018
2019;ABRIL;LIMA;22431;CAMIONES Y TRACTO;CAMIONES;CABINADO;UD;CRONER MKE;THAILAND                                                    ;4X2;11,500;2018
2019;ABRIL;LIMA;22441;CAMIONES Y TRACTO;CAMIONES;CABINADO;UD;CRONER MKE;THAILAND                                                    ;4X2;11,500;2018
2019;ABRIL;LIMA;843964;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;VOLVO;FM11 4X2T;SWEDEN                                                      ;4X2;20,100;2019
2019;ABRIL;LIMA;842412;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;VOLVO;FH 6X4T;SWEDEN                                                      ;6X4;28,100;2019
2019;ABRIL;LIMA;842287;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;VOLVO;FH 6X4T;SWEDEN                                                      ;6X4;28,100;2019
2019;ABRIL;LIMA;842972;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;VOLVO;FH 6X4T;SWEDEN                                                      ;6X4;28,100;2019
